actor,n_movies,imdb_mean,imdb_max,votes_mean,votes_max,genre_span,career_span_years
Wes Studi,6,6.75,7.9,195351.0,886204.0,13,17.0
CCH Pounder,7,6.357142857142857,7.9,222862.14285714287,886204.0,9,20.0
Joel David Moore,7,6.057142857142858,7.9,197685.7142857143,886204.0,9,7.0
Orlando Bloom,11,7.472727272727273,8.9,556064.1818181818,1238746.0,10,12.0
Johnny Depp,41,6.736585365853661,8.1,191840.68292682926,809474.0,18,32.0
Jack Davenport,6,7.050000000000001,8.1,335051.0,809474.0,8,8.0
Stephanie Sigman,1,6.8,6.8,275868.0,275868.0,3,0.0
Christoph Waltz,10,7.0,8.5,269866.0,955174.0,11,7.0
Rory Kinnear,5,7.4399999999999995,8.1,423668.6,522048.0,6,7.0
Christian Bale,28,7.257142857142858,9.0,298146.1785714286,1676169.0,19,21.0
Tom Hardy,13,7.484615384615385,8.8,358238.92307692306,1468200.0,12,13.0
Joseph Gordon-Levitt,19,7.094736842105264,8.8,261723.73684210525,1468200.0,13,19.0
Doug Walker,1,7.1,7.1,8.0,8.0,1,
Rob Walker,1,7.1,7.1,8.0,8.0,1,
Samantha Morton,9,6.711111111111112,7.7,39436.444444444445,212204.0,9,15.0
Polly Walker,2,6.75,6.9,146823.0,212204.0,4,20.0
Daryl Sabara,5,5.58,6.9,73165.4,212204.0,7,12.0
Kirsten Dunst,26,6.711538461538461,9.0,148368.07692307694,666937.0,17,22.0
J.K. Simmons,31,6.674193548387096,8.5,164979.0,544665.0,16,20.0
James Franco,28,6.617857142857143,7.8,158633.39285714287,544665.0,15,16.0
Brad Garrett,6,6.616666666666667,8.2,198156.33333333334,692482.0,12,14.0
M.C. Gainey,6,6.466666666666666,7.8,132660.33333333334,305340.0,13,13.0
Donna Murphy,2,7.05,7.8,148706.5,294810.0,8,1.0
Chris Hemsworth,15,6.939999999999999,8.1,333686.4,995415.0,13,7.0
Scarlett Johansson,30,7.056666666666667,8.5,258420.66666666666,995415.0,16,18.0
