node,degree,betweenness,eigenvector
Robert De Niro,94,0.005916050692441935,0.2021658375566198
Morgan Freeman,79,0.004897659368506506,0.20812626632303716
Matt Damon,72,0.003649801689957862,0.10940529040217574
Bruce Willis,70,0.003816574042096693,0.13510721452750055
Nicolas Cage,62,0.0036868894908878794,0.0723647749653424
Steve Buscemi,62,0.002719925178588934,0.12370951120964657
Johnny Depp,61,0.002783979442520954,0.17345737590130106
Liam Neeson,60,0.002074569452740638,0.11983766140539674
Will Ferrell,60,0.002732925938054522,0.09223175536100511
Denzel Washington,60,0.0034277213982075415,0.10419976239445608
Bill Murray,59,0.0034638901164344284,0.10427333504418447
Brad Pitt,57,0.0018646092866769436,0.17321912323632688
Anthony Hopkins,57,0.0015718598469899043,0.10980028906995566
Harrison Ford,56,0.0020502256074165564,0.06825100642241971
Jim Broadbent,55,0.002339502368368106,0.08856528671461003
Tom Hanks,54,0.0024631822038485088,0.06401633481477743
Tom Cruise,53,0.002524543910683171,0.09247073624030135
Christian Bale,52,0.0017738637184140978,0.10455851843168164
J.K. Simmons,52,0.002027241236021284,0.1540530789127274
Matthew McConaughey,51,0.002263740046694782,0.07632533883391819
Julia Roberts,50,0.0014512112765237052,0.10666484637497353
Robin Williams,49,0.0019516098625782276,0.07519820626416686
Meryl Streep,49,0.0016204497448134327,0.11327151649086525
Tom Wilkinson,49,0.0021408560176253357,0.08825818803134423
Philip Seymour Hoffman,48,0.0017536040740614848,0.09492419986136723
Robert Downey Jr.,48,0.0015861583149098632,0.10387729651489483
Scarlett Johansson,47,0.001935594796656326,0.1281426383792327
Gerard Butler,47,0.0026124940835604554,0.06489646210861938
Sylvester Stallone,47,0.0016475978984142538,0.06851122129779529
Kirsten Dunst,46,0.0016289211741891537,0.13787742275792642
Angelina Jolie Pitt,46,0.0017935297798170329,0.11029077015972365
Judy Greer,45,0.0013858050265317871,0.05790960618454757
Jeff Bridges,45,0.0020693038472256635,0.07870474122619589
James Franco,45,0.0014206907853984126,0.12235396450632234
Keanu Reeves,43,0.0012246345859478897,0.06998563880000758
Charlize Theron,43,0.0017029038322850243,0.1146728904940452
Robert Duvall,43,0.0018043057243566027,0.11326538169005007
Dwayne Johnson,42,0.0013308623243556946,0.051172211115160175
Channing Tatum,42,0.0009111717174070272,0.04275125514240513
Anne Hathaway,42,0.0013530759314081117,0.09254628475346006
Jason Statham,42,0.0017619975184986914,0.11126575392844536
Kevin Spacey,42,0.0010758441668467472,0.06084081208745399
Oliver Platt,41,0.0010319835604864214,0.05788886105065312
Leonardo DiCaprio,40,0.001038936472221125,0.07730353164464995
Naomi Watts,40,0.0011032348589437517,0.04390440923588233
Dennis Quaid,40,0.0009213539524619652,0.05427029430135723
Gary Oldman,40,0.001172178670768793,0.08614944743557017
Hugh Jackman,40,0.0012233843348448295,0.055024262997786434
Al Pacino,39,0.0012146957558500215,0.09419330250470842
Kate Winslet,39,0.0008875546734078141,0.08106270455769604
Viggo Mortensen,38,0.001502166166546311,0.06049820731079577
Jake Gyllenhaal,38,0.0011588502955725737,0.05640428570507488
Rosario Dawson,38,0.0007919447595668047,0.04415659921791592
Ryan Reynolds,38,0.0015787298236348106,0.04783434669283303
Stephen Root,37,0.0008678351479217811,0.0602332762828908
Adam Sandler,37,0.0006483198820520217,0.06487478566000861
Bruce Greenwood,37,0.0012160738859888231,0.031950317814988985
Salma Hayek,36,0.0008789330918283238,0.05488682152552738
Steve Carell,36,0.0007947448878587708,0.08065068817827044
Joseph Gordon-Levitt,36,0.0009601642930979717,0.06002897921016285
Will Smith,36,0.0009939364368913837,0.0449519880227533
Zooey Deschanel,36,0.0013428503972502171,0.067245616607135
Natalie Portman,35,0.0013969083017954672,0.0764723045967246
Brendan Fraser,34,0.0009720751687410231,0.023067324815070213
Ray Winstone,34,0.0008112473848437522,0.047576191477818365
Scott Glenn,34,0.0007595311653080055,0.04864392482803853
Bradley Cooper,33,0.001055194866669244,0.08137076703162568
Milla Jovovich,33,0.0009885439370143443,0.05975660175574699
Bob Hoskins,32,0.0015439817406150435,0.051263028396446905
Vin Diesel,32,0.0010810439825668376,0.045603938031292
Ryan Gosling,32,0.0006806536971555084,0.04284579284414245
Colin Firth,32,0.0005669842632514415,0.063859310971388
Paul Walker,32,0.000979050121958448,0.04578434476139696
Michael Rapaport,32,0.0015430367463056308,0.057037714317062754
Bruce McGill,32,0.0011960719183905374,0.035656374588327995
Chloë Grace Moretz,31,0.0008383179021630852,0.04160036627040267
William Hurt,31,0.0006882292966122402,0.036017849477626804
Jon Favreau,31,0.0010241334457237437,0.0763083248921167
Clint Eastwood,31,0.0007351800901007038,0.03348756684698886
Clifton Collins Jr.,30,0.0008693918921980695,0.0541059000104284
Demi Moore,30,0.0008774471026332056,0.0540321596510832
Chazz Palminteri,30,0.0012843312335143,0.034626325625130946
Kristen Stewart,30,0.0009079138813100354,0.05140430630620485
Sam Shepard,29,0.0006146088210928515,0.0620874151526289
Matthew Broderick,29,0.0012835868512521568,0.04976212896075517
Jason Flemyng,29,0.0008774145485270024,0.09858363938103873
John Heard,28,0.0006732412296420683,0.02424725704071888
Jada Pinkett Smith,28,0.000532939837037614,0.03659108254886814
Don Cheadle,28,0.00053548988122097,0.033080815167495
Alfre Woodard,28,0.0008039497480738736,0.02844583229412206
Jennifer Garner,28,0.0006843745856791166,0.047789158613227446
Adam Scott,28,0.0005666527777945741,0.048519830661566496
Olivia Wilde,28,0.0004872849848441053,0.05174636283083063
Michael Fassbender,28,0.00037365092384205424,0.050286208544787006
Steve Coogan,27,0.0006426080825276441,0.05669338331677516
Gary Cole,27,0.001181858108270984,0.035139705835402116
Bernie Mac,27,0.0004662146827252802,0.025530385435315484
Djimon Hounsou,27,0.000807957943403682,0.05557430248437259
Nia Long,27,0.0003444380151586379,0.01632168043651039
Jennifer Jason Leigh,27,0.0007752639968652204,0.027330599768466027
Martin Landau,27,0.0014185420369673344,0.03457939594463163
Catherine O'Hara,26,0.0005697673871463976,0.03171233590635641
Michael Angarano,26,0.0005246632233226331,0.03148041092220838
Anna Kendrick,26,0.0006091573747715948,0.04470868747758469
Robin Wright,26,0.0005002550605172965,0.061845972639688156
Jay Hernandez,26,0.0006133461642307583,0.02732617734066644
Bill Cobbs,26,0.0007215588313189213,0.0342783353651978
Delroy Lindo,26,0.0005161205627311362,0.038709955157606356
Mike Starr,26,0.0005909122289900877,0.032347853717770846
Frank Langella,26,0.0005776171812786952,0.05213592211319853
Josh Hutcherson,26,0.0013638583286427351,0.041968064037138826
Minnie Driver,26,0.0010883723214083203,0.05121517298298267
Amy Poehler,25,0.00034292945632961386,0.020652776426737626
Rip Torn,25,0.0006456083596482179,0.033702554685279405
Loretta Devine,25,0.0005117443408002006,0.023806539685756054
Mila Kunis,25,0.0003905452967688001,0.06357243885543258
Kristin Scott Thomas,25,0.0006301773784815578,0.0403553879959398
Thomas Lennon,24,0.00037260726831563176,0.019473260810458616
Bruce Dern,24,0.00027938774630195836,0.02615558506835942
Tom Hardy,24,0.0005026565286215662,0.0349069025836342
Michael Biehn,24,0.0008162431699792392,0.01061284835875375
Chris Evans,24,0.0007598791987880908,0.03880260261806246
Peter Dinklage,24,0.0009958175523492863,0.03458416679072593
Vivica A. Fox,24,0.00035636642678424244,0.012035229145175014
Holly Hunter,24,0.0005513192619364285,0.020337928455042467
Jamie Lee Curtis,24,0.0007958489251789069,0.013433814695325293
Logan Lerman,24,0.0003725233401451424,0.038931374739972886
Paul Sorvino,24,0.0008353108805868358,0.0215279527930061
Virginia Madsen,24,0.00029187953234061174,0.03880155555232751
Mike Epps,24,0.00031912321149902054,0.022147919092685982
Sarah Michelle Gellar,23,0.0003850459140108942,0.013670296774446897
Jon Lovitz,23,0.0007131180424272975,0.04932351880726235
Emma Stone,23,0.0005938257386837509,0.04723504277815285
Chris Hemsworth,23,0.0003511625777764078,0.06669055225358038
Christopher Lee,23,0.001051055706119957,0.05001214215711355
Jeremy Renner,23,0.0005724268363804576,0.0339156340292914
Alexa PenaVega,23,0.000357364740142724,0.026777958279800777
Udo Kier,23,0.0006481769888598733,0.013480585189112545
Lin Shaye,23,0.00039424390431118313,0.02946880043285021
