Id,Label,movies_credited,degree,weighted_degree
CCH Pounder,CCH Pounder,7,14,14
Joel David Moore,Joel David Moore,7,12,14
Wes Studi,Wes Studi,6,12,12
Jack Davenport,Jack Davenport,6,7,12
Johnny Depp,Johnny Depp,41,61,82
Orlando Bloom,Orlando Bloom,11,15,22
Christoph Waltz,Christoph Waltz,10,18,20
Rory Kinnear,Rory Kinnear,5,8,10
Stephanie Sigman,Stephanie Sigman,1,2,2
Christian Bale,Christian Bale,28,52,56
Joseph Gordon-Levitt,Joseph Gordon-Levitt,19,36,38
Tom Hardy,Tom Hardy,13,24,26
Doug Walker,Doug Walker,1,1,1
Rob Walker,Rob Walker,1,1,1
Daryl Sabara,Daryl Sabara,5,9,10
Polly Walker,Polly Walker,2,4,4
Samantha Morton,Samantha Morton,9,18,18
J.K. Simmons,J.K. Simmons,31,52,62
James Franco,James Franco,28,45,56
Kirsten Dunst,Kirsten Dunst,26,46,52
Brad Garrett,Brad Garrett,6,12,12
Donna Murphy,Donna Murphy,2,4,4
M.C. Gainey,M.C. Gainey,6,12,12
Chris Hemsworth,Chris Hemsworth,15,23,30
Robert Downey Jr.,Robert Downey Jr.,29,48,58
Scarlett Johansson,Scarlett Johansson,30,47,60
Alan Rickman,Alan Rickman,11,18,22
Daniel Radcliffe,Daniel Radcliffe,12,15,24
Rupert Grint,Rupert Grint,8,13,16
Alan D. Purwin,Alan D. Purwin,1,2,2
Henry Cavill,Henry Cavill,7,14,14
Lauren Cohan,Lauren Cohan,3,6,6
Frank Langella,Frank Langella,14,26,28
Kevin Spacey,Kevin Spacey,22,42,44
Marlon Brando,Marlon Brando,9,16,18
Giancarlo Giannini,Giancarlo Giannini,3,6,6
Mathieu Amalric,Mathieu Amalric,5,10,10
Ruth Wilson,Ruth Wilson,3,6,6
Tom Wilkinson,Tom Wilkinson,27,49,54
Christopher Meloni,Christopher Meloni,6,12,12
Harry Lennix,Harry Lennix,9,18,18
Damián Alcázar,Damián Alcázar,2,4,4
Peter Dinklage,Peter Dinklage,14,24,28
Pierfrancesco Favino,Pierfrancesco Favino,1,2,2
Sam Claflin,Sam Claflin,4,7,8
Stephen Graham,Stephen Graham,7,13,14
Michael Stuhlbarg,Michael Stuhlbarg,4,8,8
Nicole Scherzinger,Nicole Scherzinger,1,2,2
Will Smith,Will Smith,20,36,40
Adam Brown,Adam Brown,3,2,6
Aidan Turner,Aidan Turner,4,4,8
James Nesbitt,James Nesbitt,8,12,16
Andrew Garfield,Andrew Garfield,7,13,14
Chris Zylka,Chris Zylka,2,4,4
Emma Stone,Emma Stone,14,23,28
Mark Addy,Mark Addy,9,16,18
Scott Grimes,Scott Grimes,2,4,4
William Hurt,William Hurt,16,31,32
Christopher Lee,Christopher Lee,15,23,30
Eva Green,Eva Green,6,10,12
Kristin Scott Thomas,Kristin Scott Thomas,13,25,26
Evan Parke,Evan Parke,3,2,6
Naomi Watts,Naomi Watts,22,40,44
Thomas Kretschmann,Thomas Kretschmann,13,22,26
Gloria Stuart,Gloria Stuart,1,2,2
Kate Winslet,Kate Winslet,22,39,44
Leonardo DiCaprio,Leonardo DiCaprio,22,40,44
Chris Evans,Chris Evans,13,24,26
Alexander Skarsgård,Alexander Skarsgård,9,16,18
Liam Neeson,Liam Neeson,34,60,68
Tadanobu Asano,Tadanobu Asano,2,4,4
Bryce Dallas Howard,Bryce Dallas Howard,9,17,18
Judy Greer,Judy Greer,25,45,50
Omar Sy,Omar Sy,3,6,6
Albert Finney,Albert Finney,8,14,16
Helen McCrory,Helen McCrory,3,4,6
Don Cheadle,Don Cheadle,15,28,30
Jon Favreau,Jon Favreau,18,31,36
Anne Hathaway,Anne Hathaway,24,42,48
Daniel Cudmore,Daniel Cudmore,1,2,2
Hugh Jackman,Hugh Jackman,24,40,48
Kelsey Grammer,Kelsey Grammer,6,12,12
Sean Hayes,Sean Hayes,6,12,12
Steve Buscemi,Steve Buscemi,37,62,74
Tyler Labine,Tyler Labine,7,13,14
