actor,degree,strength,n_movies,imdb_mean,imdb_max,votes_mean,votes_max,genre_span,career_span_years,betweenness,eigenvector
CCH Pounder,14,14,7,6.357142857142857,7.9,222862.14285714287,886204.0,9,20.0,0.0002097219328875,0.0140746061326597
Joel David Moore,12,14,7,6.057142857142858,7.9,197685.7142857143,886204.0,9,7.0,0.0003051923088477,0.0153787546448159
Wes Studi,12,12,6,6.75,7.9,195351.0,886204.0,13,17.0,9.064924202493974e-05,0.0167627223350884
Jack Davenport,7,12,6,7.050000000000001,8.1,335051.0,809474.0,8,8.0,3.322669768234157e-05,0.0480098539609033
Johnny Depp,61,82,41,6.736585365853661,8.1,191840.68292682926,809474.0,18,32.0,0.0027839794425209,0.173457375901301
Orlando Bloom,15,22,11,7.472727272727273,8.9,556064.1818181818,1238746.0,10,12.0,0.0001954064586993,0.0619503000423923
Christoph Waltz,18,20,10,7.0,8.5,269866.0,955174.0,11,7.0,0.0001609198836567,0.0310345374701014
Rory Kinnear,8,10,5,7.4399999999999995,8.1,423668.6,522048.0,6,7.0,0.0001607727802114,0.0069342585795175
Stephanie Sigman,2,2,1,6.8,6.8,275868.0,275868.0,3,0.0,0.0,0.0016208973083994
Christian Bale,52,56,28,7.257142857142858,9.0,298146.1785714286,1676169.0,19,21.0,0.001773863718414,0.1045585184316816
Joseph Gordon-Levitt,36,38,19,7.094736842105264,8.8,261723.73684210525,1468200.0,13,19.0,0.0009601642930979,0.0600289792101628
Tom Hardy,24,26,13,7.484615384615385,8.8,358238.92307692306,1468200.0,12,13.0,0.0005026565286215,0.0349069025836342
Daryl Sabara,9,10,5,5.58,6.9,73165.4,212204.0,7,12.0,7.825187523822732e-05,0.0081100280643817
Polly Walker,4,4,2,6.75,6.9,146823.0,212204.0,4,20.0,1.2247603237036788e-05,0.003800835938682
Samantha Morton,18,18,9,6.711111111111112,7.7,39436.444444444445,212204.0,9,15.0,0.0004560447662127,0.0095019168487909
J.K. Simmons,52,62,31,6.674193548387096,8.5,164979.0,544665.0,16,20.0,0.0020272412360212,0.1540530789127274
James Franco,45,56,28,6.617857142857143,7.8,158633.39285714287,544665.0,15,16.0,0.0014206907853984,0.1223539645063223
Kirsten Dunst,46,52,26,6.711538461538461,9.0,148368.07692307694,666937.0,17,22.0,0.0016289211741891,0.1378774227579264
Brad Garrett,12,12,6,6.616666666666667,8.2,198156.33333333334,692482.0,12,14.0,0.000117081101067,0.007516388871711
Donna Murphy,4,4,2,7.05,7.8,148706.5,294810.0,8,1.0,8.175682075292921e-07,0.0010574345522243
M.C. Gainey,12,12,6,6.466666666666666,7.8,132660.33333333334,305340.0,13,13.0,6.257928184602902e-05,0.007911000264223
Chris Hemsworth,23,30,15,6.939999999999999,8.1,333686.4,995415.0,13,7.0,0.0003511625777764,0.0666905522535803
Robert Downey Jr.,48,58,29,6.927586206896551,8.2,244114.8275862069,995415.0,19,21.0,0.0015861583149098,0.1038772965148948
Scarlett Johansson,47,60,30,7.056666666666667,8.5,258420.66666666666,995415.0,16,18.0,0.0019355947966563,0.1281426383792327
Alan Rickman,18,22,11,7.063636363636363,8.2,177018.18181818182,592582.0,13,28.0,0.0004318023854439,0.0729524885308593
Daniel Radcliffe,15,24,12,6.891666666666667,7.8,213946.0,444683.0,11,15.0,0.0002818523657937,0.0291043666455793
Rupert Grint,13,16,8,7.237499999999999,7.8,189696.75,387616.0,8,9.0,8.188693042202777e-05,0.0175331541036244
Alan D. Purwin,2,2,1,6.9,6.9,371639.0,371639.0,3,0.0,0.0,0.0005723482823867
Henry Cavill,14,14,7,6.828571428571429,7.7,225723.85714285713,548573.0,9,14.0,0.0005664751115448,0.0112385951209552
Lauren Cohan,6,6,3,7.0,8.1,136794.0,371639.0,7,2.0,7.290811636828824e-05,0.0021660009101813
Frank Langella,26,28,14,6.3,7.1,85483.64285714286,240396.0,13,33.0,0.0005776171812786,0.0521359221131985
Kevin Spacey,42,44,22,7.1499999999999995,8.6,197519.0,822500.0,15,22.0,0.0010758441668467,0.0608408120874539
Marlon Brando,16,18,9,7.2555555555555555,9.2,257978.11111111112,1155770.0,10,55.0,0.0002679246043748,0.0414391184358598
Giancarlo Giannini,6,6,3,6.6000000000000005,7.7,204613.66666666666,330784.0,6,6.0,0.000270219710488,0.0070718609198442
Mathieu Amalric,10,10,5,6.9799999999999995,8.0,120576.4,330784.0,8,9.0,0.0009114168104285,0.0022421620954291
Ruth Wilson,6,6,3,7.533333333333334,8.6,123359.66666666667,181792.0,11,0.0,0.0001264460906969,0.0142966056995668
Tom Wilkinson,49,54,27,6.937037037037037,8.3,118378.5925925926,666937.0,16,20.0,0.0021408560176253,0.0882581880313442
Christopher Meloni,12,12,6,6.516666666666667,7.5,130498.83333333333,548573.0,12,18.0,0.0001517394385676,0.0113545078524775
Harry Lennix,18,18,9,6.666666666666667,7.7,93452.11111111111,548573.0,14,18.0,0.0002562085721056,0.0083380226934414
Damián Alcázar,4,4,2,6.699999999999999,6.8,80505.0,149922.0,6,6.0,0.0003791495775931,0.001549086714797
Peter Dinklage,24,28,14,6.7714285714285705,8.1,97327.92857142857,514125.0,12,15.0,0.0009958175523492,0.0345841667907259
Pierfrancesco Favino,2,2,1,6.6,6.6,149922.0,149922.0,4,0.0,0.0,0.0015433945392375
Sam Claflin,7,8,4,6.625,7.6,170432.75,370704.0,5,5.0,1.6186494722962013e-05,0.0217644034864914
Stephen Graham,13,14,7,6.728571428571429,7.7,115738.0,370704.0,15,7.0,0.0001801385060972,0.0235036311671131
Michael Stuhlbarg,8,8,4,7.05,7.2,162418.0,268154.0,9,6.0,8.821534104494417e-05,0.0087322507006578
Nicole Scherzinger,2,2,1,6.8,6.8,268154.0,268154.0,6,0.0,0.0,0.0022922711962357
Will Smith,36,40,20,6.7299999999999995,8.0,235704.0,530870.0,15,21.0,0.0009939364368913,0.0449519880227533
Adam Brown,2,6,3,7.766666666666667,7.9,491671.3333333333,637246.0,2,2.0,0.0,0.0011445406641224
Aidan Turner,4,8,4,7.325,7.9,395510.5,637246.0,5,2.0,1.9531063725754094e-05,0.0020980313808553
James Nesbitt,12,16,8,7.5,8.1,190915.375,637246.0,10,16.0,0.0003576746287137,0.0068403848188912
Andrew Garfield,13,14,7,6.957142857142857,7.7,219876.85714285713,479453.0,11,7.0,0.0004299638723777,0.0148163143340586
Chris Zylka,4,4,2,5.5,7.0,236313.0,451803.0,5,1.0,6.738734859188009e-06,0.0034597202308918
Emma Stone,23,28,14,6.671428571428572,8.1,234700.85714285713,451803.0,11,8.0,0.0005938257386837,0.0472350427781528
Mark Addy,16,18,9,5.977777777777778,7.3,61323.333333333336,211765.0,13,13.0,0.0003249120764909,0.0145491019226248
Scott Grimes,4,4,2,6.7,6.7,117007.5,211765.0,6,11.0,3.298323182558708e-05,0.0024513951745079
William Hurt,31,32,16,6.8374999999999995,8.2,125927.9375,426359.0,16,26.0,0.0006882292966122,0.0360178494776268
Christopher Lee,23,30,15,6.700000000000001,8.8,308004.73333333334,1238746.0,16,45.0,0.0010510557061199,0.0500121421571135
Eva Green,10,12,6,6.866666666666667,8.0,239389.16666666666,470501.0,10,8.0,0.0001153236765036,0.0146291346011595
Kristin Scott Thomas,25,26,13,6.823076923076922,7.5,77421.61538461539,300542.0,14,19.0,0.0006301773784815,0.0403553879959398
Evan Parke,2,6,3,7.2,7.2,316021.6666666667,316027.0,4,0.0,0.0,0.0098811229332441
Naomi Watts,40,44,22,6.78181818181818,8.0,127726.22727272728,395087.0,11,21.0,0.0011032348589437,0.0439044092358823
Thomas Kretschmann,22,26,13,6.56923076923077,8.3,152334.15384615384,316027.0,16,16.0,0.0004548997886304,0.0332326168965118
Gloria Stuart,2,2,1,7.7,7.7,793059.0,793059.0,2,0.0,0.0,0.0067609711808502
Kate Winslet,39,44,22,7.018181818181819,8.3,157916.54545454544,793059.0,14,22.0,0.0008875546734078,0.081062704557696
Leonardo DiCaprio,40,44,22,7.50909090909091,8.8,429682.63636363635,1468200.0,11,22.0,0.0010389364722211,0.0773035316446499
Chris Evans,24,26,13,6.73076923076923,8.2,176973.07692307694,508818.0,13,15.0,0.000759879198788,0.0388026026180624
Alexander Skarsgård,16,18,9,6.544444444444444,7.1,87645.33333333333,202382.0,7,15.0,0.0002191806133805,0.0323380208948532
Liam Neeson,60,68,34,6.611764705882354,8.9,191485.5588235294,980946.0,17,33.0,0.0020745694527406,0.1198376614053967
Tadanobu Asano,4,4,2,6.6,7.3,120008.5,202382.0,8,5.0,7.204958997109715e-05,0.0065215321765769
Bryce Dallas Howard,17,18,9,6.966666666666667,8.1,176872.55555555556,418214.0,10,12.0,0.0004937645901502,0.023340238236823
Judy Greer,45,50,25,6.112,7.6,102882.4,418214.0,15,16.0,0.0013858050265317,0.0579096061845475
Omar Sy,6,6,3,6.933333333333333,7.2,168077.0,418214.0,7,6.0,0.0004269567131769,0.0071892682320059
Albert Finney,14,16,8,7.1625,8.1,263398.625,522048.0,10,49.0,0.0002933920524197,0.0271702447651668
Helen McCrory,4,6,3,7.8,7.8,394397.3333333333,522048.0,7,3.0,2.4487354456359776e-05,0.0122012690886123
Don Cheadle,28,30,15,6.893333333333334,8.1,161411.4,557489.0,12,16.0,0.0005354898812209,0.033080815167495
Jon Favreau,31,36,18,6.577777777777778,8.2,198653.05555555556,780588.0,12,19.0,0.0010241334457237,0.0763083248921167
Anne Hathaway,42,48,24,6.704166666666668,8.6,149539.0,928227.0,13,15.0,0.0013530759314081,0.09254628475346
Daniel Cudmore,2,2,1,6.8,6.8,383427.0,383427.0,5,0.0,0.0,0.0033845316827358
Hugh Jackman,40,48,24,6.866666666666668,8.5,224239.41666666666,844052.0,16,16.0,0.0012233843348448,0.0550242629977864
Kelsey Grammer,12,12,6,6.083333333333333,7.1,128339.0,383427.0,13,17.0,0.0001671825676048,0.0242488929881726
Sean Hayes,12,12,6,5.733333333333333,7.4,83227.33333333333,235025.0,8,10.0,0.0002160713763754,0.0201970258709138
Steve Buscemi,62,74,37,6.567567567567568,8.4,137609.8108108108,664719.0,17,23.0,0.0027199251785889,0.1237095112096465
Tyler Labine,13,14,7,6.442857142857143,7.6,124121.14285714286,403836.0,14,15.0,0.0001030047345487,0.022227610959215
Glenn Morshower,15,16,8,5.6875,6.5,126915.5,326180.0,9,19.0,0.0002727901645964,0.015772146114298
Kevin Dunn,15,16,8,6.6875,8.2,223385.625,513158.0,8,15.0,0.0003473977557761,0.0344254529986731
Ramon Rodriguez,10,10,5,6.42,7.4,154944.2,323207.0,7,8.0,6.185282930356986e-05,0.0094344900630398
Bingbing Li,8,8,4,5.800000000000001,6.1,88736.25,242420.0,8,3.0,5.118998233127032e-05,0.0048626967070407
Sophia Myles,8,8,4,5.925,7.0,154471.25,242420.0,7,11.0,3.393239208861521e-05,0.0032919792312655
Mila Kunis,25,30,15,6.500000000000001,8.0,169375.93333333332,551363.0,11,15.0,0.0003905452967688,0.0635724388554325
Tim Holmes,2,4,2,6.4,6.4,175411.0,175413.0,3,0.0,0.0,0.0158738120001273
B.J. Novak,6,6,3,6.433333333333333,7.5,149114.66666666666,321227.0,11,8.0,2.1104970531118515e-05,0.0067753433908945
James Frain,18,20,10,6.55,7.7,91403.0,264186.0,12,21.0,0.0004696214747851,0.041123812280827
Jeff Bridges,45,48,24,6.770833333333332,8.2,122209.16666666667,696338.0,17,35.0,0.0020693038472256,0.0787047412261958
Olivia Wilde,28,30,15,6.426666666666666,8.1,117572.53333333334,312629.0,13,10.0,0.0004872849848441,0.0517463628308306
Eddie Izzard,13,14,7,6.014285714285714,7.0,40468.142857142855,101178.0,14,13.0,9.14137000103948e-05,0.0218221579085957
Joe Mantegna,18,18,9,6.2444444444444445,7.6,51111.11111111111,267980.0,11,21.0,0.000212096033093,0.0148698405178894
Ryan Reynolds,38,38,19,6.610526315789474,8.1,144988.73684210525,479047.0,16,17.0,0.0015787298236348,0.047834346692833
Taika Waititi,2,2,1,5.6,5.6,223393.0,223393.0,3,0.0,0.0,0.0023211942678845
Temuera Morrison,8,8,4,5.050000000000001,6.5,78227.25,223393.0,9,15.0,5.73671984827465e-05,0.0065305411011109
Don Rickles,6,6,3,7.633333333333333,8.3,299486.3333333333,544884.0,8,15.0,0.0001569309729524,0.0141274800117147
John Ratzenberger,18,20,10,7.890000000000001,8.4,474710.5,718837.0,7,17.0,0.0002356647271728,0.0289065451383132
Tom Hanks,54,56,28,7.3999999999999995,8.8,307625.96428571426,1251222.0,17,31.0,0.0024631822038485,0.0640163348147774
Common,19,20,10,6.510000000000001,7.3,138519.4,447979.0,16,10.0,0.0005761217232481,0.0629077288620095
Jason Statham,42,52,26,6.546153846153846,8.3,178575.73076923078,600996.0,11,17.0,0.0017619975184986,0.1112657539284453
Paul Walker,32,38,19,6.305263157894737,7.4,115946.15789473684,284792.0,13,17.0,0.0009790501219584,0.0457843447613969
Vin Diesel,32,38,19,6.773684210526315,8.6,213229.8947368421,881236.0,13,17.0,0.0010810439825668,0.045603938031292
Brad Pitt,57,68,34,7.123529411764706,8.8,295389.5882352941,1347461.0,20,24.0,0.0018646092866769,0.1732191232363268
Mireille Enos,6,8,4,6.3,7.0,160978.0,465019.0,10,1.0,0.0002121872568602,0.0106788377824885
Peter Capaldi,6,8,4,7.1499999999999995,7.7,149998.25,465019.0,8,25.0,1.52228218412282e-05,0.0164186909173228
Jennifer Lawrence,22,30,15,7.046666666666667,8.0,272005.73333333334,701607.0,11,8.0,0.000496451731307,0.0632162506606458
Benedict Cumberbatch,20,20,10,7.1899999999999995,8.1,167822.3,467613.0,14,8.0,0.0002835966661687,0.0397035372731493
Bruce Greenwood,37,38,19,6.489473684210526,8.0,103507.21052631579,504419.0,16,20.0,0.0012160738859888,0.0319503178149889
Noel Clarke,2,2,1,7.8,7.8,395573.0,395573.0,3,0.0,0.0,0.0030595354868665
Eddie Marsan,20,24,12,7.316666666666666,8.2,273013.6666666667,791783.0,11,12.0,0.0002940312056968,0.0424351769367225
Ewen Bremner,14,16,8,7.125,8.2,168430.125,469561.0,10,17.0,0.0002972405013243,0.0253918594035727
Ralph Brown,4,4,2,5.949999999999999,6.3,56081.5,106416.0,3,6.0,1.1795691579170128e-05,0.0034244847512871
Elizabeth Debicki,4,6,3,7.3,7.3,300601.6666666667,362933.0,5,2.0,3.956461989313477e-05,0.0077561570543198
Steve Bisley,4,6,3,7.2,7.3,292692.3333333333,362933.0,6,34.0,4.6739346350241294e-05,0.007290480795289
Jake Gyllenhaal,38,40,20,6.955000000000001,8.1,183905.4,580999.0,13,14.0,0.0011588502955725,0.0564042857050748
Reece Ritchie,4,4,2,6.3,6.6,111790.0,222403.0,6,4.0,4.666154220762582e-05,0.0030752987417521
Richard Coyle,10,10,5,6.36,6.9,69977.8,222403.0,10,8.0,0.000104678791314,0.0141031638042845
Charlie Hunnam,12,12,6,6.75,7.9,151869.0,381148.0,11,11.0,0.0001590617264751,0.0261417629248018
Clifton Collins Jr.,30,32,16,6.3125,7.0,71604.5,381148.0,12,24.0,0.000869391892198,0.0541059000104284
Larry Joe Campbell,4,4,2,6.45,7.0,242189.0,381148.0,5,2.0,0.0001494273233753,0.0035064900433881
Lester Speight,2,2,1,6.3,6.3,326180.0,326180.0,3,0.0,0.0,0.002143312698821
Harrison Ford,56,58,29,7.075862068965518,8.8,235658.44827586206,911097.0,15,42.0,0.0020502256074165,0.0682510064224197
Jim Broadbent,55,60,30,6.703333333333334,8.2,83286.16666666667,333847.0,16,27.0,0.0023395023683681,0.08856528671461
